i0	hes	novac	Peak of I	Start of Epidemic	Max Deaths	Cumulative Infections
1	0.2	0.05	207.92	47	17.6	807.64
3	0.2	0.05	227.51111111111112	45	17.6	829.9555555555555
5	0.2	0.05	240.0	35	17.837209302325583	907.2790697674419
10	0.2	0.05	253.81632653061226	23	19.0	948.9387755102041
20	0.2	0.05	298.18	11	20.44	1043.38
50	0.2	0.05	330.64	1	21.2	1060.96
100	0.2	0.05	386.6	0	22.46	1078.6200000000001
150	0.2	0.05	430.14	0	20.02	1093.24
200	0.2	0.05	458.2	0	21.72	1104.02
300	0.2	0.05	523.74	0	22.56	1117.36
