i0	Peak of I	Start of Epidemic	Max Deaths	Cumulative Infections
(3, 0.05, 0.05)	203.0909090909091	41	9.659090909090908	297783.90909090906
(3, 0.1, 0.05)	216.68085106382978	42	10.404255319148936	306353.93617021275
(3, 0.15, 0.05)	229.83333333333334	45	11.928571428571429	303115.0476190476
(3, 0.2, 0.05)	243.59574468085106	50	13.404255319148936	303228.1276595745
(3, 0.25, 0.05)	209.125	44	13.675	297280.02499999997
(3, 0.3, 0.05)	188.11363636363637	52	14.795454545454545	270025.8181818181
(3, 0.4, 0.05)	230.17777777777778	43	20.844444444444445	328252.1333333333
(3, 0.5, 0.05)	203.9512195121951	41	23.390243902439025	318032.48780487804
(3, 0.7, 0.05)	224.74358974358975	40	29.974358974358974	353283.6153846154
(3, 0.9, 0.05)	237.62222222222223	41	39.111111111111114	380322.2444444444
random
