i0	Peak of I	Start of Epidemic	Max Deaths	Cumulative Infections
(1, 0.2, 0.05)	186.44827586206895	70	11.03448275862069	212468.8620689655
(3, 0.2, 0.05)	236.2439024390244	39	14.682926829268293	342021.0487804878
(5, 0.2, 0.05)	243.61702127659575	34	15.638297872340425	369091.8297872341
(10, 0.2, 0.05)	266.58	23	16.28	412268.45999999996
(20, 0.2, 0.05)	310.66	10	17.96	459226.92000000004
(50, 0.2, 0.05)	343.24	1	18.16	493292.99999999994
(100, 0.2, 0.05)	383.48	0	18.78	509939.3999999999
(150, 0.2, 0.05)	415.78	0	19.4	518865.2200000001
(200, 0.2, 0.05)	462.5	0	19.56	528688.24
(300, 0.2, 0.05)	530.1	0	22.16	544742.12

