n2	Peak of I	Start of Epidemic	Max Deaths	Cumulative Infections
(3, 0.05, 0.05)	221.66666666666666	43	9.4	300865.1555555556
(3, 0.05, 0.1)	232.0888888888889	42	12.444444444444445	318747.6888888889
(3, 0.05, 0.15)	209.02272727272728	50	11.522727272727273	269956.6818181818
(3, 0.05, 0.2)	231.6818181818182	47	15.454545454545455	312423.04545454547
(3, 0.05, 0.25)	221.65217391304347	41	17.543478260869566	328598.5
(3, 0.05, 0.3)	240.9318181818182	37	21.90909090909091	361107.3181818181
(3, 0.05, 0.4)	207.0	46	22.727272727272727	308130.7272727273
(3, 0.05, 0.5)	230.7	37	30.65	374108.775
(3, 0.05, 0.7)	215.95454545454547	40	38.5	368739.36363636365
(3, 0.05, 0.9)	210.72727272727272	51	44.36363636363637	373965.13636363635

