i0	hes	novac	Peak of I	Start of Epidemic	Max Deaths	Cumulative Infections
3	0.05	0.05	250.05555555555557	44	12.38888888888889	836.6388888888889
3	0.1	0.05	241.8636363636364	42	14.136363636363637	834.2272727272727
3	0.15	0.05	235.46341463414635	46	15.585365853658535	813.5609756097562
3	0.2	0.05	247.1904761904762	47	14.904761904761903	826.7619047619048
3	0.25	0.05	240.3571428571429	47	19.047619047619047	839.8809523809524
3	0.3	0.05	245.6153846153846	48	19.846153846153847	839.1025641025641
3	0.4	0.05	238.7317073170732	42	24.92682926829268	898.1951219512196
3	0.5	0.05	261.7906976744186	47	30.069767441860463	917.7441860465116
3	0.7	0.05	210.64285714285717	40	34.976190476190474	934.9047619047618
3	0.9	0.05	238.27272727272728	46	39.63636363636363	972.3863636363636
