i0	hes	novac	Peak of I	Start of Epidemic	Max Deaths	Cumulative Infections
1	0.2	0.05	247.10526315789477	52	16.31578947368421	786.1052631578947
3	0.2	0.05	249.26829268292684	45	17.4390243902439	855.2926829268292
5	0.2	0.05	257.84	32	18.84	929.08
10	0.2	0.05	265.34	23	19.56	964.92
20	0.2	0.05	298.78	10	20.02	1029.8
50	0.2	0.05	340.62	1	19.26	1065.36
100	0.2	0.05	376.98	0	19.42	1073.8600000000001
150	0.2	0.05	421.36	0	20.96	1090.4
200	0.2	0.05	466.72	0	21.18	1104.18
300	0.2	0.05	521.72	0	22.0	1118.86
