i0	hes	novac	Peak of I	Start of Epidemic	Max Deaths	Cumulative Infections
3	0.2	0.05	235.45	45	17.175	821.525
3	0.2	0.1	236.76190476190476	46	19.61904761904762	849.0952380952381
3	0.2	0.15	219.66666666666666	36	25.153846153846153	908.6410256410257
3	0.2	0.2	249.475	42	25.8	924.3249999999999
3	0.2	0.25	246.65853658536585	40	28.365853658536587	930.1951219512194
3	0.2	0.3	252.39473684210526	48	28.44736842105263	914.7368421052631
3	0.2	0.4	233.38095238095238	41	34.69047619047619	945.3095238095237
3	0.2	0.5	235.12820512820514	42	37.38461538461539	961.6666666666666
3	0.2	0.7	226.14705882352942	46	46.73529411764706	1010.2647058823529
3	0.2	0.8	225.55263157894737	40	49.36842105263158	1039.4736842105262
